Article,nazva,Year,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE,DEPR,LIFEIMP
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2023,130,43,4,0,0,0,0,0,0,3,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2015,382,30,18,4,1,0,0,0,0,11,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2019,261,29,8,1,0,0,0,0,0,7,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2016,396,36,17,4,1,0,0,0,0,12,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2013,333,95,44,9,4,0,0,0,0,29,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2020,265,33,13,1,0,0,0,0,0,12,0,0
364-1,Стаття 364-1. Зловживання повноваженнями службовою особою юридичної особи приватного права незалежно від організаційно-правової форми,2021,266,34,12,1,1,0,0,0,0,10,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2024,179,37,2,2,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2015,107,3,1,1,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2021,422,55,0,0,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2023,227,28,1,0,1,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2013,72,11,1,0,1,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2022,239,29,0,0,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2014,68,5,1,0,0,0,0,0,0,1,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2018,308,13,0,0,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2020,379,27,0,0,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2017,234,15,1,1,0,0,0,0,0,0,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2016,174,4,2,1,0,0,0,0,0,1,0,0
365-2,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",2019,472,18,0,0,0,0,0,0,0,0,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2017,2086,481,218,15,24,0,15,0,0,163,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2023,1403,237,92,5,10,0,1,0,0,72,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2018,2189,429,157,10,5,0,6,0,0,136,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2014,1535,859,445,263,41,0,2,0,0,134,1,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2021,1566,255,99,1,9,0,6,0,0,82,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2024,1640,365,80,1,4,0,0,0,0,73,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2020,1607,314,81,0,6,0,8,0,0,67,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2016,1578,594,264,25,30,0,9,0,0,196,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2019,1744,343,139,3,9,0,6,0,0,121,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2022,988,121,65,3,5,0,4,0,0,53,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2013,1683,1063,731,418,103,10,1,2,0,193,0,0
368,"Стаття 368. Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",2015,1588,730,374,124,59,0,7,1,0,178,0,0
368-3,Стаття 368-3. Підкуп службової особи юридичної особи приватного права незалежно від організаційно-правової форми,2017,60,26,14,0,0,0,0,0,2,12,0,0
